10	0	이그	1	40	50	4	0.95	1	0.15	1	0	타겟 적에게 화 속성의 작은 데미지를 준다	확률적으로 명중한 적에게 화상을 입힌다	./resource/sprite/ig/ig1.png	
11	0	이그아	2	120	150	8	0.95	1	0.15	1	0	타겟 적에게 화 속성의 중간 데미지를 준다	확률적으로 명중한 적에게 화상을 입힌다	./resource/sprite/ig/ig2.png		
12	0	이그스	3	200	250	24	0.95	1	0.15	1	0	타겟 적에게 화 속성의 큰 데미지를 준다	확률적으로 명중한 적에게 화상을 입힌다	./resource/sprite/ig/ig3.png	
13	0	업화	4	800	1000	32	0.95	1	0.15	1	0	타겟 적에게 화 속성의 매우 큰 데미지를 준다	확률적으로 명중한 적에게 화상을 입힌다	./resource/sprite/ig/ig4.png	

20	1	아크	1	30	70	8	0.93	3	0.05	2	0	전체 적에게 수 속성의 작은 데미지를 준다	확률적으로 명중한 적을 익사 시킨다	./resource/sprite/aq/aq1.png	
21	1	아콰	2	90	210	16	0.93	3	0.05	2	0	전체 적에게 수 속성의 중간 데미지를 준다	확률적으로 명중한 적을 익사 시킨다	./resource/sprite/aq/aq2.png	
22	1	아크스	3	150	350	32	0.93	3	0.05	2	0	전체 적에게 수 속성의 큰 데미지를 준다	확률적으로 명중한 적을 익사 시킨다	./resource/sprite/aq/aq3.png	
23	1	사해	4	600	1400	64	0.93	3	0.05	2	0	전체 적에게 수 속성의 매우 큰 데미지를 준다	확률적으로 명중한 적을 익사 시킨다	./resource/sprite/aq/aq4.png	

30	2	테르	1	40	55	6	0.90	0	0	2	0	전체 적에게 지 속성의 작은 데미지를 준다	다른 효과는 딱히 없다	./resource/sprite/ter/ter1.png	
31	2	테라	2	120	165	12	0.90	0	0	2	0	전체 적에게 지 속성의 중간 데미지를 준다	다른 효과는 딱히 없다	./resource/sprite/ter/ter2.png	
32	2	테르스	3	200	220	18	0.90	0	0	2	0	전체 적에게 지 속성의 큰 데미지를 준다	다른 효과는 딱히 없다	./resource/sprite/ter/ter3.png	
33	2	지변	4	800	110	48	0.90	0	0	2	0	전체 적에게 지 속성의 매우 큰 데미지를 준다	다른 효과는 딱히 없다	./resource/sprite/ter/ter4.png	

40	3	웬트	1	30	65	3	0.92	0	0	1	0	타겟 적에게 풍 속성의 작은 데미지를 준다	다른 효과는 딱히 없다	./resource/sprite/vent/vent1.png	
41	3	웬트아	2	90	195	6	0.92	0	0	1	0	타겟 적에게 풍 속성의 중간 데미지를 준다	다른 효과는 딱히 없다	./resource/sprite/vent/vent2.png	
42	3	웬투스	3	150	325	9	0.92	0	0	1	0	타겟 적에게 풍 속성의 큰 데미지를 준다	다른 효과는 딱히 없다	./resource/sprite/vent/vent3.png	
43	3	풍파	4	600	1100	24	0.92	0	0	1	0	타겟 적에게 풍 속성의 매우 큰 데미지를 준다	다른 효과는 딱히 없다	./resource/sprite/vent/vent4.png	

50	4	페르	1	30	50	10	0.95	2	0.15	2	0	모든 적에게 멸 속성의 작은 데미지를 준다	확률적으로 명중한 적에게 불안을 부여한다	./resource/sprite/per/per1.png	
51	4	페르아	2	90	150	20	0.95	2	0.15	2	0	모든 적에게 멸 속성의 중간 데미지를 준다	확률적으로 명중한 적에게 불안을 부여한다	./resource/sprite/per/per1.png	
52	4	페르스	3	150	250	30	0.95	2	0.15	2	0	모든 적에게 멸 속성의 큰 데미지를 준다	확률적으로 명중한 적에게 불안을 부여한다	./resource/sprite/per/per1.png	
53	4	천벌	4	600	1000	80	0.95	2	0.15	2	0	모든 적에게 멸 속성의 매우 데미지를 준다	확률적으로 명중한 적에게 불안을 부여한다	./resource/sprite/per/per1.png	

60	5	보니	1	50	54	5	0.97	0	0	3	0	타겟 적에게 선 속성으로 작은 데미지를 준다	데미지의 절반의 크기로 나머지 적의 SP를 감소시킨다	./resource/sprite/boni/boni1.png	
61	5	보니아	2	150	162	10	0.97	0	0	3	0	타겟 적에게 선 속성으로 중간 데미지를 준다	데미지의 절반의 크기로 나머지 적의 SP를 감소시킨다	./resource/sprite/boni/boni2.png	
62	5	보니스	3	250	266	15	0.97	0	0	3	0	타겟 적에게 선 속성으로 큰 데미지를 준다	데미지의 절반의 크기로 나머지 적의 SP를 감소시킨다	./resource/sprite/boni/boni3.png	
63	5	결백	4	1000	1080	40	0.97	0	0	3	0	타겟 적에게 선 속성으로 매우 큰 데미지를 준다	데미지의 절반의 크기로 모든 적의 SP를 감소시킨다	./resource/sprite/boni/boni4.png	

70	6	말	1	40	44	9	0.98	0	0	3	0	타겟 적을 제외한 모든 적에게 악 속성으로 작은 데미지를 준다	데미지의 절반의 크기로 타겟 적의 SP를 감소시킨다	./resource/sprite/mal/mal1.png	
71	6	말루아	2	120	132	18	0.98	0	0	3	0	타겟 적을 제외한 모든 적에게 악 속성으로 중간 데미지를 준다	데미지의 절반의 크기로 타겟 적의 SP를 감소시킨다	./resource/sprite/mal/mal2.png	
72	6	말루스	3	300	220	24	0.98	0	0	3	0	타겟 적을 제외한 모든 적에게 악 속성으로 큰 데미지를 준다	데미지의 절반의 크기로 타겟 적의 SP를 감소시킨다	./resource/sprite/mal/mal3.png	
