1	0	안티모니	ANTIMONY	4	100	100	1	-1	1	0	0	1	0	0	0	0	7	7	7	7	7	7	10	
2	1	아스닉	ARSENIC		5	110	140	2	1	-1	0	0	0	1	0	0	0	8	8	8	8	8	8	20 1030	
3	2	아스타틴	ASTATINE	6	180	100	2	0	0	-1	1	0	0	1	0	0	10	10	10	10	15	10	30	
4	3	카퍼	COPPER		3	120	160	2	1	0	1	-1	0	0	0	0	0	5	5	5	5	5	5	40 1000	
5	4	크립톤	KRYPOTON	21	350	300	2	0	0	0	0	-2	1	1	0	0	25	25	25	25	25	25	50 1010	
6	5	니켈	NICKEL		15	300	350	3	1	0	-1	0	2	-2	0	0	0	30	30	30	30	30	30	60 1030 1040	
7	6	브로민	BROMINE		18	380	450	3	0	1	0	-1	2	0	-2	0	0	27	27	27	27	27	27	70 1002	
8	7	라돈	RADON		35	550	500	3	0	0	0	0	0	0	0	-2	2	35	40	40	45	40	35	80 1041	
9	8	제논	XENON		38	560	644	3	0	0	0	0	0	0	0	2	-2	35	40	40	45	40	35	90 1013	
10	-1	비스무트	BISMUTH		83	830	838	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	80	80	80	80	80	80	83 93 13 23 33 43	
