1	0	cupiditas	È­	¼ö	ºÒ °è¿­	-1	1	0	0	0	0	0	0	0	10 990	
2	1	laetitia	¼ö	È­	¹° °è¿­	1	-1	0	0	0	0	0	0	0	20 990	
3	5	admiratio	¼±/¾Ç	¸ê	Á¤½Å °è¿­	0	0	0	0	2	-1	-1	0	0	1000 1001 1010 1011	
4	6	tristitia	¾Ç	Ç³/È­	¾Ç °è¿­	1	0	0	1	0	0	-2	0	0	70 1011	
5	7	amor		È­/¸ê	¹°/¼±/¾Ç	º¸Á¶ °è¿­	-1	1	0	0	-1	1	1	0	0	50 60 70	
6	2	existimatio	Áö/Ç³	È­/¹°	¶¥ °è¿­	1	1	-1	-1	0	0	0	0	0	30 1030 1024	
7	3	Favor		Ç³	¸ê/¼±/¾Ç	¹Ù¶÷ °è¿­	0	0	0	-2	1	1	1	0	0	40 1040	
8	4	Gaudium		¸ê/¼±/¾Ç	È­/¼ö	ÆÄ¸ê °è¿­	-2	-2	0	0	-2	-2	-2	0	0	50 53 1025 1010 1011	
9	5	Humilitas	¼±/±¤	¾Ç/¾Ï	¼± °è¿­	0	0	0	0	0	-2	1	-1	2	80 1030 1040	
10	8	irrisio		¾Ï	±¤	¾îµÒ °è¿­	-1	-1	-1	-1	-1	-1	-1	1	-2	93 13 23 1042 1013 1003	
