1	0	불꽃 슬라임		4	54	30	1	-1	2	0	0	0	0	0	0	0	3	3	3	3	3	3	10				1	1	1	1	
2	1	빗물 슬라임		5	60	34	1	2	-1	0	0	0	0	0	0	0	3	3	3	3	3	3	20 1030				2	2	1	2	
3	3	모래 슬라임		6	75	40	1	0	0	-1	2	0	0	0	0	0	3	3	3	3	3	3	30				3	6	1	3	
4	2	바람 슬라임		3	38	22	1	0	0	2	-1	0	0	0	0	0	3	3	3	3	3	3	40 1000				4	7	1	4	
5	4	파멸된 장갑충	21	210	280	2	0	0	0	0	-2	2	2	0	0	10	10	10	10	10	10	50 51 1010 1011			5	8	2	5		
6	5	선인의 장갑충	15	160	150	2	0	0	0	0	0	-1	1	0	0	10	10	10	10	10	10	60 61 1030 1040			6	3	2	6	
7	6	악인의 장갑충	18	180	200	2	0	0	0	0	0	1	-1	0	0	10	10	10	10	10	10	70 71 1002			7	4	2	7	
8	7	빛의 골렘		35	320	370	3	0	0	0	0	0	-1	0	-2	1	30	30	30	30	30	30	80 81 82 1041			8	9	3	8	
9	8	어둠의 골렘		38	380	330	3	0	0	0	0	0	0	-1	1	-2	30	30	30	30	30	30	90 91 92 1013 1012		9	5	3	9	
10	-1	BOSS 케르베로스	80	2500	2500	4	1	1	1	1	-1	-1	-1	-2	-2	80	80	80	80	80	80	50 51 52 60 62 70 72		10	10	4	10	
11	-1	오른쪽 머리		50	1000	9999	3	2	1	1	2	1	-2	-2	-2	-2	50	50	50	50	50	50	1040 1041 10 20 30 40		1	1	4	10	
12	-1	왼쪽 머리		50	1000	9999	3	-2	1	1	-2	1	2	2	-2	-2	50	50	50	50	50	50	1013 1003 1002 1012 50 60 70	2	2	4	10	
13	-1	BOSS 케르베로스II	90	2500	2500	5	-1	-1	-1	-1	1	1	1	-2	-2	99	99	99	99	99	99	83 93 13 23 33 43 40 60		10	10	5	10	
